Job Title,Company Name,Location,Working Days,Job Type,Key Indicators,Job Description,Job Conditions
کارشناس بینایی ماشین و هوش مصنوعی,رادمان سیستم ویژن,"{'City': 'تهران', 'Neighborhood': '، ایرانشهر'}",متناسب با پروژه زمان کار انعطاف پذیر است,قراردادی / پروژه ای,"['Python - متوسط', 'OpenCV - پیشرفته']","['حداقل لیسانس یا فوق لیسانس رشته های برق، کامپیوتر، هوش مصنوعی، نرم افزار، رباتیک، مکاترونیک و مهندسی پزشکی (کلیه گرایش ها)', 'دانش کافی در مبانی پردازش تصویر و بینایی ماشین', 'آشنایی در استفاده از کتابخانه OpenCV', 'دانش کافی در خصوص مفاهیم تشخیص الگو، استخراج ویژگی، طبقه بندی، خوشه بندی و بازشناسی متن', 'آشنایی با زبان برنامه نویسی python', 'علاقمند به یادگیری حوزه های جدید', 'خلاقیت در ارائه راهکار های جدید', 'علاقه مند به انجام کار تیمی', 'آشنایی با زبان انگلیسی', 'امکان ماموریت کاری خارج از استان']","[('جنسیت', 'تفاوتی ندارد'), ('تحصیلات', 'کارشناسی|کامپیوتر / فناوری اطلاعاتکارشناسی|مهندسی مکانیک'), ('زبان', 'انگلیسی|متوسط ۵۰٪'), ('نرم افزارها', 'Python|متوسطOpenCV|پیشرفته')]"
کارشناس ارشد تحلیل داده (صنعت بانکی و مالی),شرکت داده و اعتبار سنجی تجارت ایرانیان (داتا),"{'City': 'تهران', 'Neighborhood': '، ونک'}",شنبه تا چهارشنبه ساعت 8 تا 17,تمام وقت,"['Python - متوسط', 'T-Sql - متوسط']","['شرایط احراز:', 'تسلط کامل به الگوریتم های داده کاوی و توسعه آنها', 'تسلط کامل به زبان برنامه نویسی Python', 'تسلط کامل به زبان پرس و جوی TSQL', 'تسلط به مفاهیم MLOps', 'مهارت مستند سازی و تحلیل سیستم', 'آشنایی با مفاهیم کلان داده و پایگاه داده', 'آشنایی با اسکرام', 'ترجیحا دارای تجربه کاری در صنعت بانکی', 'توانایی کار تیمی', 'توانایی حل مسئله', 'شرح وظایف:', 'پیاده سازی ساختارهای داده کاوی متناسب با نیاز های شناسایی شده', 'برقراری ارتباط موثر با خبرگان هر سیستم و شناسایی روابط داده ای پیچیده', 'پاکسازی و ترمیم اطلاعات مورد نیاز', 'تجزیه داده ها با استفاده از ابزارها و روش های استاندارد', 'مستند سازی مراحل مختلف کار']","[('سن', 'از 28 سال'), ('جنسیت', 'تفاوتی ندارد'), ('نرم افزارها', 'Python|متوسطT-Sql|متوسط')]"
machine learning engineer (مهندس یادگیری ماشین),شرکت هوش مصنوعی گاتا,"{'City': 'تهران', 'Neighborhood': '، هفت تیر'}",یکشنبه تا پنجشنبه 8:00 الی 17:00 جمعه و شنبه تعطیل کاری,تمام وقت,"['MySql - متوسط', 'Python - متوسط', 'Hadoop - مقدماتی', 'Spark - مقدماتی']","['ما در حال حاضر در گاتا به دنبال یک machine learning engineer با استعداد و متخصص هستیم تا به تیم ما بپیوندد. اگر شما یک فرد کنجکاو، با استعداد و علاقه مند به حل مسائل پیچیده با استفاده از داده ها هستید، ما منتظر شما هستیم.', 'موقعیت شغلی:', 'بهبود فرآیندها با استفاده از تحلیل داده ها و گزارش ها', 'نیازمندی ها و توانمندی ها:', '• دارا بودن مدرک کارشناسی ارشد در رشته های هوش مصنوعی، علوم کامپیوتر یا ریاضیات.• داشتن گواهینامه ها یا سابقه ی کار مرتبط با تحلیل داده مانند مشاوره، تحلیل یا مدل سازی.', '• آشنایی با ابزارهای تحلیل و مدل سازی داده ها از جمله SQL، Hive، Hadoop، و Spark، همچنین زبان های برنامه نویسی مانند Python و R و فریمورکهای یادگیری ماشین مانند TensorFlow، keras و یا PyTorch• تسلط کامل در متدهای کاوش داده و تجزیه و تحلیل آنها، ابزارها و مدل های مورد استفاده در کار با داده ها', '• تجربه ی کاری در زمینه دانشمند داده یا مهندس یادگیری ماشین• توانایی ارائه ی گزارش های سطح بالا برای بهبود فرآیندها، تصمیم گیری و مصرف تحلیلی', '• توانایی شناسایی و حل مسائل شناخته نشده و ارائه ی راه حل های خلاقانه.• توانایی ارتباط مؤثر و همکاری با تیم های مختلف از جمله تیم مهندسی داده، تیم محصول، و تیم طراحی، جهت ارائه ی نیازمندی ها و گزارش ها']","[('جنسیت', 'تفاوتی ندارد'), ('تحصیلات', 'کارشناسی|کامپیوتر / فناوری اطلاعات'), ('نرم افزارها', 'MySql|متوسطHadoop|مقدماتیSpark|مقدماتیPython|متوسط')]"
برنامه نویس هوش مصنوعی,توسعه دانش و فناوری کارن,"{'City': 'تهران', 'Neighborhood': '، پاسداران'}",شنبه تا چهارشنبه 8 الی 17,تمام وقت,"['MySql - متوسط', 'Python - متوسط', 'GIT - پیشرفته', 'Jira - متوسط', 'Trello - متوسط']","['شرح شغل', 'توانمندی', 'مزایا', '• امکان شناوری در ساعات کاری', '• کار با تکنولوژی های روز و چالش های فنی جذاب', '• محیطی همراه با یادگیری، ارتقا و پیشرفت کاری و فردی', '• محیطی کاملا حرفه\u200f ای در حین حال صمیمانه، پویا و به دور از استرس']","[('جنسیت', 'تفاوتی ندارد'), ('نرم افزارها', 'Jira|متوسطTrello|متوسطPython|متوسطGIT|پیشرفتهMySql|متوسط')]"
کارشناس پایگاه داده BI,بانک دی,"{'City': 'تهران', 'Neighborhood': '، آذربایجان'}",6 روز در هفته,تمام وقت,"['Microsoft Excel - پیشرفته', 'Sql Server - متوسط', 'Oracle Database - متوسط']","['تسلط بر دیتابیس های اوراکل، SQL Server ، PL SQL Developer', 'توانایی نگهداری، Tuning و مانیتورینگ دیتابیس ها', 'توانایی ایجاد و نگهداری انبار داده (Data Warehousing)', 'تسلط بر ابزارهای SSDT', 'آشنایی با Microsoft Excel پیشرفته']","[('سن', '22 - 40 سال'), ('جنسیت', 'تفاوتی ندارد'), ('خدمت سربازی', 'اتمام خدمت سربازی و یا معافیت از آن الزامی است'), ('تحصیلات', 'کارشناسی|کامپیوتر / فناوری اطلاعات'), ('نرم افزارها', 'Sql Server|متوسطOracle Database|متوسطMicrosoft Excel|پیشرفته')]"
کارشناس داده کاوی و آنالیز (Data Mining),باغ دارو سبز سلامت گستر پنجاه چهل,"{'City': 'تهران', 'Neighborhood': '، پونک'}",8 الی 18,تمام وقت,['Microsoft Excel - پیشرفته'],"['آشنایی با الگوریتم های داده کاوی، روش های تحلیل آماری، فرآیند های تحلیل و طبقه بندی اطلاعات', 'انجام تحلیل و ارائه راهکار', 'تهیه گزارشات و داشبورد های مدیریتی', 'تسلط به اکسل (افراد آشنا به سایر نرم افزارهای مرتبط با داده کاوی و تحلیل آماری در اولویت قرار میگیرند)', 'کنجکاو، جستجوگر، پیگیر و اهل تعامل و کارگروهی و با انگیزه', 'داشتن دقت و تمرکز بالا', 'حداقل کارشناسی مهندسی صنایع یا سایر رشته های مرتبط', 'داشتن تسلط یا سابقه کار مرتبط', 'تسلط به اکسل و فرمول نویسی پیشرفته ، داشتن تمرکز بالا']","[('سن', '22 - 40 سال'), ('جنسیت', 'تفاوتی ندارد'), ('تحصیلات', 'کارشناسی|مهندسی صنایع'), ('نرم افزارها', 'Microsoft Excel|پیشرفته')]"
توسعه دهنده هوش تجاری (BI Developer),هوش آیند,"{'City': 'تهران', 'Neighborhood': '، بلوار کشاورز'}",شنبه تا چهارشنبه ساعت 8 تا 17,تمام وقت,"['Sql Server - متوسط', 'T-Sql - متوسط', 'Qlikview - مقدماتی', 'Tableau - مقدماتی', 'PowerBI - پیشرفته', 'SSIS - متوسط', 'SSAS - متوسط']","['خلاصه شغل:', 'در هوش آیند به دنبال یک هم تیمی با دانش کسب و کاری با نقش تحلیلگر و توسعه دهنده BI هستیم. در این نقش، شما مسئول تجزیه و تحلیل و توسعه هوش تجاری در پروژه های پیاده سازی سیستم برای مشتریان هستید. داشتن توانایی شناخت فرایند و شاخص های کلیدی عملکرد (KPI)، تجربه عملی و فنی ساخت گزارش ها و داشبوردها در ابزارهای مایکروسافت مانند Power BI و توانایی ارائه و آموزش موثر داشبوردهای مدیریتی به کاربران سازمان ها، از جمله مهمترین پارامترهای بررسی خواهد بود.', 'مسئولیت ها:', 'مهارت های الزامی:', 'مهارت های مطلوب:', 'آنچه هوش آیند برای رشد مهارت ها، ایجاد محیط کاری حرفه ای و کمک به عملکرد شما در این نقش ارائه می دهد:']","[('سن', '23 - 33 سال'), ('جنسیت', 'تفاوتی ندارد'), ('نرم افزارها', 'SSAS|متوسطSSIS|متوسطPowerBI|پیشرفتهTableau|مقدماتیQlikview|مقدماتیSql Server|متوسطT-Sql|متوسط')]"
Business Data Analyst,Okala,"{'City': 'Tehran', 'Neighborhood': ', Arjantin'}",Saturday to Wednesday from 9 am to 6 pm,Full Time,['3 years experience in similar position'],"['In the data department, we aim to enable the company for evidence-driven decisions, by building stable, validated and reliable infrastructure, agreed-upon, easy-to-use and thorough reporting system, and smart, metrics-driven, and actionable business analysis practices.', 'We have open positions for Business Data Analyst in both the Central Analytics team and the Analysis Chapter and we’ll let the interviewing process determine which position best suits each candidate.', 'Responsibilities', '- Understanding business problems and translating them to data problems', '- Analyzing data problems and suggesting reasonable solutions', '- Visualizing data and bringing evidence to solve business cases', '- Creating dashboards and reports', '- Translating business requirements to data engineering terms for infrastructure development', 'Requirements', '- Excellent problem-solving skills', '- Excellent communication skills both written and spoken', '- Hands-on experience with at least one data visualization tool (Power BI is preferred)', '- Basic knowledge of TSQL', '- Familiarity with statistics', '- Familiarity with data science', '- Familiarity with data engineering', '- At least 3 years of experience as a data analyst (e-commerce experience is a huge plus)']","[('Gender', 'Men / Women'), ('Software', 'T-Sql|IntermediatePowerBI|Intermediate')]"
متخصص هوش مصنوعی,فلونیتا,"{'City': 'تهران', 'Neighborhood': '، شهرک دانشگاه'}",ایام هفته به جز روز های تعطیل رسمی,قراردادی / پروژه ای,"['C# - متوسط', 'Python - متوسط', 'Html & CSS - پیشرفته', 'JavaScript - متوسط', 'JQuery - متوسط', 'Django - متوسط']","['هرگونه پیشنهاد کاربری هوش مصنوعی در ساختار و بخش های وب سایت و روش های فنی ارتقاء کمی و کیفی رتبه، جایگاه و ارزش وب سایت و همچنین در زمینه ارتقاء کمی و کیفی رابط و تجربه کاربری، که قابل ارزیابی و مقیاس پذیر باشند استقبال می شود.', 'عقد قرداد همکاری (نوع همکاری، زمانبندی و هزینه) منوط به ارائه و دفاع علمی و مستند از پروپوزال و ادعای پیشنهادی می باشد.']","[('جنسیت', 'تفاوتی ندارد'), ('تحصیلات', 'کارشناسی ارشد|مدیریت / بازرگانی / کسب و کارکارشناسی ارشد|کامپیوتر / فناوری اطلاعات'), ('زبان', 'انگلیسی|متوسط ۵۰٪'), ('نرم افزارها', 'C#|متوسطPython|متوسطHtml & CSS|پیشرفتهJavaScript|متوسطJQuery|متوسطDjango|متوسط')]"
Data Scientist - Marketing Models Specialist,OK Chainstores,"{'City': 'Tehran', 'Neighborhood': ', Yosef Abad'}",Saturdays - Wednesdays (8-17) - Thursdays(8-12)  every other week,Full Time,"['2 years experience in similar position', 'Bachelor Business/Management/Commerce or Computer and IT or Industrial Engineering or Math / Statistics']","['Job Description:', 'Required Skills:']","[('Age', '24 - 38 Years Old'), ('Gender', 'Men / Women'), ('Military service', 'Military service must be done'), ('Education', 'Bachelor|Business/Management/CommerceBachelor|Computer and ITBachelor|Industrial EngineeringBachelor|Math / Statistics'), ('Language', 'English|Intermediate - 50%'), ('Software', 'Python|IntermediateR|IntermediateSql Server|Intermediate')]"
Data Analyst,Behin Bazaar Negar Exxon,"{'City': 'Tehran', 'Neighborhood': ', Mirdamad'}","Sat-Wed 8:30-16:50, Thu 8:30-13:50",Full Time,['3 years experience in similar position'],"[""Are you passionate about uncovering insights and providing valuable analytical support in the field of marketing and market research? We are seeking a talented and experienced Data Analyst to join our team. As a Data Analyst, you will play a crucial role in generating actionable reports and providing analytical insights on competition, markets, customers, and partners to support our clients' business decisions."", 'Main Responsibilities:', '- Generate actionable insights from enterprise-wide data sets, helping our clients make informed business decisions.', '- Collect and present business intelligence reports to clients regularly, offering valuable insights and recommendations.', '- Conduct analysis of current market position/share, identifying basic drivers and exploring forward-looking scenarios.', '- Gather business intelligence data from field reports and related sources to enhance our understanding of market dynamics.', '- Develop standard or custom reports summarizing business data, ensuring they are clear, concise, and relevant for managers, executives, or customers.', '- Maintain and update business intelligence tools, databases, dashboards, systems, or methods to ensure data accuracy and accessibility.', '- Prepare daily project progress reports and comprehensive report files at the end of each period, ensuring timely and accurate delivery.', 'Requirements:', '- Proven experience (2-5 years) in utilizing qualitative and quantitative research methods within the marketing and market research field.', '- Complete mastery of MS Office, particularly Excel, for efficient data analysis and reporting.', '- Ability to multitask, thrive in a fast-paced and dynamic environment, and work independently with a proactive approach.', '- Strong writing, presentation, and communication skills to effectively convey insights and findings to various stakeholders.', '- Proficiency in English is required.', '- Proficiency in SQL, Power BI, and Python is advantageous and considered a plus.', ""Join our team and contribute to our clients' success by providing impactful data-driven insights. If you are an analytical thinker with a passion for marketing and market research, along with the technical skills to drive actionable results, we would love to hear from you.""]","[('Gender', 'Men / Women')]"
کارشناس هوش تجاری,نویان نگین پارسیان,"{'City': 'تهران', 'Neighborhood': '، آیت الله کاشانی'}",شنبه تا چهارشنبه 8 الی 16:30 پنج شنبه 8 الی 12,تمام وقت,"['Knime - مقدماتی', 'PowerBI - متوسط', 'SSIS - متوسط', 'SSAS - متوسط']","['شرح شغل:', 'آشنا به نرم افزار ERP', 'آشنایی با مفاهیم آماری و اصول مصور سازی داده ها', 'تسلط به PowerBI', 'تسلط به پایگاه داده SQl و کوئری نویسی با آن', 'تسلط به Data Visualization', 'مسلط به زبان DAX', 'مسلط به مباحث SSRS,SSAS,SSIS', 'شایستگی ها:', '- منظم و مسئولیت پذیر', '- دارای روحیه کار تیمی و تعامل با سایر بخش ها', '- خلاق، با پشتکار و توانمند در حل مساله', '- دارای کارت پایان خدمت', '- سطح زبان انگلیسی قابل قبول', 'مزایا:', '- حقوق ثابت و پرداخت به موقع', '- بیمه تامین اجتماعی (از اولین روز کاری)', '- بیمه تکمیلی (S0S)']","[('سن', '25 - 35 سال'), ('جنسیت', 'تفاوتی ندارد'), ('خدمت سربازی', 'اتمام خدمت سربازی و یا معافیت از آن الزامی است'), ('تحصیلات', 'کارشناسی|مهندسی صنایعکارشناسی|کامپیوتر / فناوری اطلاعات'), ('زبان', 'انگلیسی|متوسط ۵۰٪'), ('نرم افزارها', 'PowerBI|متوسطSSAS|متوسطSSIS|متوسطKnime|مقدماتی')]"
کارشناس پایگاه داده اوراکل (Oracle),فناوری اطلاعات و ارتباطات مهیمن,"{'City': 'تهران', 'Neighborhood': '، عباس آباد (بهشتی)'}",شنبه تا چهارشنبه 8-16 پنج شنبه 8-12,تمام وقت,[],"['شرح شغل:', 'نیازمندی های شغلی:']","[('سن', '25 - 45 سال'), ('جنسیت', 'تفاوتی ندارد')]"
Data Analyst,گروه ارنیکا,"{'City': 'تهران', 'Neighborhood': '، قلهک'}",شنبه تا پنج شنبه  9 الی 18,تمام وقت,"['Sql Server - متوسط', 'Google Analytics - پیشرفته', 'PowerBI - پیشرفته']","['شرح وظایف:', 'شرایط احراز تخصصی :', 'شرایط احراز عمومی:']","[('جنسیت', 'تفاوتی ندارد'), ('نرم افزارها', 'PowerBI|پیشرفتهSql Server|متوسطGoogle Analytics|پیشرفته')]"
کارشناس پایگاه داده (SQL Server),چارسوق,"{'City': 'تهران', 'Neighborhood': '، آرژانتین'}",شنبه تا چهارشنبه از 8:00 تا 16:45و پنج شنبه ها به صورت چرخشی از 8:00 تا 13:00,تمام وقت,"['Sql Server - پیشرفته', 'T-Sql - پیشرفته', 'SSRS - پیشرفته']","['تسلط به زبان TSQL (پرس و جوهای بازگشتی، توابع تحلیلی، pivot و ...)', 'تسلط به ابزارهای مانیتورینگ پایگاه داده', 'تسلط به Backup & Recovery', 'ترجیحا آشنا به SSRS']","[('سن', '22 - 32 سال'), ('جنسیت', 'تفاوتی ندارد'), ('نرم افزارها', 'Sql Server|پیشرفتهT-Sql|پیشرفتهSSRS|پیشرفته')]"
سرپرست زیرساخت داده,گروه صنایع استیل البرز و هفت الماس,"{'City': 'تهران', 'Neighborhood': '، فرشته - الهیه'}",شنبه تا چهارشنبه 07:30 تا 16:48 (1 ساعت و 30 دقیقه شناوری),تمام وقت,"['Sql Server - پیشرفته', 'PowerBI - متوسط']","['ما در واحد فناوری اطلاعات گروه صنایع استیل البرز و هفت الماس به دنبال همکاری هستیم که تیم زیرساخت داده را در انجام وظایف زیر همراهی کند:', '-طراحی، توسعه، نصب، اجرا، تست و مدیریت سیستم های مدیریت و پردازش داده', '-طراحی و پیاده سازی سیستم های هوش تجاری و انباره ی داده ها', '-ساخت سیستم های کلان داده با مقیاس پذیری بالا، قوی و مقاوم در برابر خطا', '-توسعه و نگهداشت ETL ها', '-توسعه معماری با لحاظ نیازمندی های تجاری سازمان', '-ارائه پیشنهاد در جهت بهبود کیفیت داده ها، قابلیت اطمینان و کارایی کل سیستم', '-استقرار تکنولوژی های بازیابی خطا و داده', 'در این موقعیت شغلی تسلط بر طراحی و پیاده سازی پایگاه های داده، تسلط بر داده کاوی و Big Data و مهارت هایی نظیر همکاری، پیشرفت گرایی، رویکرد بهبود به انجام بهتر وظایف کمک خواهد کرد.']","[('سن', '28 - 38 سال'), ('جنسیت', 'تفاوتی ندارد'), ('خدمت سربازی', 'اتمام خدمت سربازی و یا معافیت از آن الزامی است'), ('تحصیلات', 'کارشناسی ارشد|کامپیوتر / فناوری اطلاعات'), ('نرم افزارها', 'Sql Server|پیشرفتهPowerBI|متوسط')]"
کارشناس آمار - آقا,مجتمع صنعتی سپاهان باتری,"{'City': 'اصفهان', 'Neighborhood': ''}",شنبه تا چهارشنبه 7:30 تا 15:40 - پنج شنبه 7:30 تا 12:10,تمام وقت,[],"['مدرک تحصیلی : حداقل کارشناسی ارشد رشته آمار', 'آشنایی کامل با سیستم اندازه گیری و شاخص های آماری', 'توانایی ارائه راهکار در جمع آوری سریع داده ها و آشنایی با داده های آماری', 'مسلط به تجزیه و تحلیل داده ها در سیستم های مختلف آماری', 'توانایی حل مسئله', 'انعطاف پذیری و روحیه کار تیمی', 'سایر مزایا:', 'حقوق طبق طرح طبقه بندی مشاغل', 'مزایای سازمانی']","[('جنسیت', 'فقط آقا'), ('خدمت سربازی', 'اتمام خدمت سربازی و یا معافیت از آن الزامی است'), ('تحصیلات', 'کارشناسی|ریاضی و آمار')]"
Data Analyst,Snapp,"{'City': 'Tehran', 'Neighborhood': ', Zaferanieh'}",Sat-Wed 09:30-18:45,Full Time,['3 years experience in similar position'],"['● \xa0 \xa0 \xa0 \xa0Bachelor or Master’s degree in analytics, engineering, computer science, statistics or similar quantitative discipline', '● \xa0 \xa0 \xa0 \xa02+ years experience in data science, data analysis, machine learning engineering or related fields.', '● \xa0 \xa0 \xa0 \xa0Advanced coding skills for analytics and data manipulation (Excel, SQL, Pandas)', '● \xa0 \xa0 \xa0 \xa0Experience in creating services using Django or FastAPI framework.', '● \xa0 \xa0 \xa0 \xa0Experience in solving problems using classic and modern machine learning algorithms is an advantage.', '● \xa0 \xa0 \xa0 \xa0Familiarity with software containerization technologies is an advantage.', '● \xa0 \xa0 \xa0 \xa0Excellent communication skills (both verbal and written in English), with proven ability to convey complex messages clearly and with conviction', 'Responsibilities', '● \xa0 \xa0 Apply your expertise for development and maintainance of operation Analysis, AI, and Software services.', '● \xa0 \xa0 Own projects or services that add values to the team.', '● \xa0 \xa0 Develop and maintain ETL services consuming multiple data sources and serving multiple data targets.']","[('Gender', 'Men / Women'), ('Education', 'Bachelor|Math / StatisticsBachelor|Computer and ITBachelor|Industrial Engineering')]"
کارشناس ارشد هوش تجاری,داروسازی دکتر عبیدی,"{'City': 'تهران', 'Neighborhood': '، شهرک استقلال'}",شنبه تا چهارشنبه از 7 الی 16,تمام وقت,"['T-Sql - متوسط', 'PowerBI - پیشرفته', 'SSIS - مقدماتی', 'SSRS - مقدماتی']",['نیازمندی ها:'],"[('سن', '22 - 35 سال'), ('جنسیت', 'تفاوتی ندارد'), ('خدمت سربازی', 'اتمام خدمت سربازی و یا معافیت از آن الزامی است'), ('تحصیلات', 'کارشناسی|مهندسی صنایعکارشناسی|کامپیوتر / فناوری اطلاعات'), ('نرم افزارها', 'PowerBI|پیشرفتهT-Sql|متوسطSSIS|مقدماتیSSRS|مقدماتی')]"
کارشناس هوش مصنوعی,"مرکز تحقیقاتی وسایل نقلیه هوشمند و خودران ""چیتا"" در دانشگاه تهران","{'City': 'تهران', 'Neighborhood': '، آزادی'}",آزاد,قراردادی / پروژه ای,[],"['کارشناس هوش مصنوعی و برنامه نویسی یا علاقه مند به این حوزه', 'کار به صورت تیمی و پروژه ای مدیریت می شود.', 'به همراه یک دوره آموزشی مهارت محور مقدماتی', 'آشنایی اولیه با برنامه نویسی و علاقه مندی جدی به فعالیت در حوزه تکنولوژی لازم است.']","[('جنسیت', 'تفاوتی ندارد'), ('تحصیلات', 'کارشناسی|مهندسی برقکارشناسی|کامپیوتر / فناوری اطلاعاتکارشناسی|مهندسی هوافضاکارشناسی|مهندسی مکانیککارشناسی|مدیریت / بازرگانی / کسب و کارکارشناسی|مهندسی صنایعکارشناسی|مهندسی پزشکی')]"
کارشناس پایگاه داده (DBA),صنایع تولیدی کروز,"{'City': 'تهران', 'Neighborhood': '، جاده مخصوص'}",شنبه تا سه شنبه7:00 تا 16:00(ساعت کاری شناور از 7 تا 9 صبح) - چهارشنبه 7:00 تا 15:00,تمام وقت,"['Sql Server - مقدماتی', 'Oracle Database - مقدماتی', 'Linux - مقدماتی', 'PL-SQL - مقدماتی']","['آشنایی با مدیریت پایگاه داده MS SQL یا اوراکل در موارد ذیل:', 'نقش شما در جایگاه شغلی تان مشارکت در مدیریت و نگهداری دیتابیس های سازمان همراه با سایر نفرات تیم پایگاه داده است که شامل دیتابیس های مختلفی مانند Oracle، MS SQL، HANA DB، Max DB و ... می باشد. در محیط کاری ما مواجه و تعامل با مشکلات جدید و تکنولوژی های نو امری معمول است و همواره باید آمادگی درگیر شدن، یادگیری، پیاده سازی و حل مشکل در حوزه های جدید دیتابیسی را داشته باشید.']","[('سن', '24 - 35 سال'), ('جنسیت', 'تفاوتی ندارد'), ('خدمت سربازی', 'اتمام خدمت سربازی و یا معافیت از آن الزامی است'), ('تحصیلات', 'کارشناسی|کامپیوتر / فناوری اطلاعات'), ('زبان', 'انگلیسی|بالاتر از متوسط ۷۰٪'), ('نرم افزارها', 'Linux|مقدماتیOracle Database|مقدماتیSql Server|مقدماتیPL-SQL|مقدماتی')]"
کارشناس هوش مصنوعی (تست و ارزیابی),متیران,"{'City': 'تهران', 'Neighborhood': '، سهروردی'}",شنبه تا چهارشنبه 7:30 تا 16:30,تمام وقت,[],"['مطالعه استانداردها و مسابقات مربوطه', 'طراحی سناریو های تست', 'تست و ارزیابی الگوریتم ها و نرم افزارها']","[('سن', '20 - 40 سال'), ('جنسیت', 'تفاوتی ندارد'), ('تحصیلات', 'کارشناسی|کامپیوتر / فناوری اطلاعاتکارشناسی|مهندسی برقکارشناسی|مهندسی پزشکی')]"
کارشناس هوش مصنوعی (AI Developer),داده کاوان هوشمند توسن,"{'City': 'تهران', 'Neighborhood': '، جردن'}",چرخشی,تمام وقت,['Python - پیشرفته'],"['تسلط به زبان پایتون', 'شناخت مفاهیم و الگوریتم های هوش مصنوعی و یادگیری ماشین', 'آشنایی با الگوریتم های پردازش متن و NLP', 'تجربه کار کردن با ML Framework ها مانند (Pandas/Pytorch/Scikit)', 'موارد ذیل امتیاز ویژه دارد:', '- شناخت پایگاه داده و آشنایی با کوئری نویسی SQL', '- شناخت پایگاه داده های NOSQL', '- توانایی انجام کار گروهی و علاقمند به یادگیری مستمر', '- توانایی تحلیل و داشتن مهارت حل مسئله']","[('جنسیت', 'تفاوتی ندارد'), ('خدمت سربازی', 'اتمام خدمت سربازی و یا معافیت از آن الزامی است'), ('نرم افزارها', 'Python|پیشرفته')]"
کارشناس تحلیل داده و هوش تجاری,شرکت مشاور مدیریت و خدمات ماشینی تامین,"{'City': 'تهران', 'Neighborhood': '، آزادی'}",شنبه الی چهارشنبه 8:00 الی 16:30 پنج شنبه تعطیل,تمام وقت,"['Sql Server - متوسط', 'Python - متوسط', 'PL-SQL - متوسط', 'Oracle BI - متوسط']","['شرایط تخصصی:', '· \xa0 \xa0 \xa0 \xa0تسلط بر مفاهیم هوش تجاری، شامل مفاهیم طراحی انباره داده و روش \xadهای یکپارچه سازی اطلاعات', '· \xa0 \xa0 \xa0 \xa0آشنایی با مفاهیم پایگاه داده (SQL و PL/SQL)', '· \xa0 \xa0 \xa0 \xa0مسلط به مفاهیم مرتبط با طراحی انبار داده و انواع روش های مدل سازی OLAP', '· \xa0 \xa0 \xa0 \xa0آشنایی با ابزار Oracle Repository OBIEE و طراحی Cube های داده ای', '· \xa0 \xa0 \xa0 \xa0آشنایی با اصول طراحی و ساخت داشبوردها و ابزار مصورسازی داده Oracle BI', '· \xa0 \xa0 \xa0 \xa0آشنایی با روش های پیاده سازی Row Level Security', '· \xa0 \xa0 \xa0 \xa0شناخت رویکردهای داده کاوی و یادگیری ماشین', '· \xa0 \xa0 \xa0 \xa0آشنایی با نرم افزارهای برنامه نویسی لازم این حوزه نظیر Python و R', '· \xa0 \xa0 \xa0 \xa0آشنا با روش های مستند سازی و مدل سازی Data Flow', 'شرایط عمومی:', 'فارغ التحصیل دانشگاه (در گرایشهای کامپیوتر یا مرتبط)', 'کارت پایان خدمت و یا معافیت دائم سربازی', 'خلاق، پیشنهاد دهنده و علاقه\xadمند به مطالعه و یادگیری', 'روحیه بالای یادگیری و پشتکار و خودجوشی در انجام امور و \xa0رفع مشکلات پیش روی', 'تعهد در انجام مسوولیتهای واگذار شده و رعایت نظم و برنامه کاری', 'توانایی تحلیل و مهارت حل مسئله', 'توانایی و مهارت برقراری ارتباط با سایر همکاران و تیم ها', 'توانایی انجام وظایف به صورت فردی و گروهی', 'توانایی شرکت در شیفت های On-Call جهت پشتیبانی از سرورها و سرویس ها', 'تسلط درک مطلب انگلیسی']","[('سن', '23 - 45 سال'), ('جنسیت', 'تفاوتی ندارد'), ('نرم افزارها', 'PL-SQL|متوسطSql Server|متوسطOracle BI|متوسطPython|متوسط')]"
